업종,주소,주선인,성공여부,대분류
기초 화학물질 제조업,충청북도 충주시 주덕읍 중원산업로 312,하나증권주식회사,심사승인,제조업3
"구조용 금속제품, 탱크 및 증기발생기 제조업",충청북도 충주시 엄정면 세고개로 154,KB증권㈜,심사승인,제조업1
전자부품 제조업,충청북도 충주시 대소원면 첨단산업9로 10-9,신한투자증권 주식회사,심사중,제조업2
일차전지 및 축전지 제조업,충청북도 충주시 대소원면 메가폴리스로 195,"KB증권㈜,신한투자증권 주식회사",심사승인,제조업1
건물 건설업,충청북도 청주시 흥덕구 직지대로435번길 15(송정동),신한투자증권 주식회사,심사승인,건 설 업
기타 화학제품 제조업,충청북도 청주시 흥덕구 직지대로409번길 37,IBK투자증권㈜,심사승인,제조업3
일반 목적용 기계 제조업,충청북도 청주시 흥덕구 옥산면 과학산업4로 151-5,신영증권㈜,심사중,제조업2
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",충청북도 청주시 흥덕구 옥산면 과학산업3로 38,KB증권㈜,심사승인,제조업4
전자부품 제조업,충청북도 청주시 흥덕구 옥산면 과학산업1로 82-19,미래에셋증권 주식회사,심사철회,제조업2
반도체 제조업,충청북도 청주시 흥덕구 옥산면 과학산업1로 82-19,미래에셋증권 주식회사,심사승인,제조업1
전자부품 제조업,충청북도 청주시 흥덕구 옥산면 과학산업1로 114,IBK투자증권㈜,심사승인,제조업2
의료용품 및 기타 의약 관련제품 제조업,충청북도 청주시 흥덕구 오송읍 오송생명6로 63,엔에이치투자증권주식회사,심사승인,제조업3
의약품 제조업,충청북도 청주시 흥덕구 오송읍 오송생명1로 197,"미래에셋증권 주식회사,유안타증권㈜",심사승인,제조업3
기타 화학제품 제조업,충청북도 청주시 흥덕구 오송읍 오송생명1로 16,미래에셋증권 주식회사,심사철회,제조업3
기타 금속 가공제품 제조업,충청북도 청주시 흥덕구 2순환로742번길 42,엔에이치투자증권주식회사,심사승인,제조업1
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",충청북도 청주시 청원구 오창읍 연구단지로 40 충북테크노파크 미래융합기술관 302호,한국투자증권㈜,심사승인,정보통신업
전자부품 제조업,충청북도 청주시 청원구 오창읍 양청3길 60,KB증권㈜,심사승인,제조업2
반도체 제조업,충청북도 청주시 청원구 오창읍 과학산업5로 9,한국투자증권㈜,심사승인,제조업1
"그외 기타 전문, 과학 및 기술 서비스업",충청북도 청주시 청원구 오창읍 과학산업2로 587-32,미래에셋증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
기타 식품 제조업,충청북도 청주시 청원구 오창읍 각리1길 94,엔에이치투자증권주식회사,심사승인,제조업1
특수 목적용 기계 제조업,충청북도 청주시 청원구 오창읍 각리1길 27,케이비투자증권㈜,심사승인,제조업4
일차전지 및 축전지 제조업,충청북도 청주시 청원구 오창읍 2산단로 100 송대리 329,대신증권㈜,심사승인,제조업1
일차전지 및 축전지 제조업,충청북도 청주시 청원구 오창읍 2산단로 100,"대신증권㈜,하나증권주식회사",심사미승인,제조업1
전자부품 제조업,충청북도 청원군 옥산면 남촌리1112-8,미래에셋증권㈜,심사미승인,제조업2
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",충청북도 청원군 오창읍 양청송대길 109,KB증권㈜,심사철회,제조업4
기타 식품 제조업,충청북도 청원군 오창읍 각리1길 94,교보증권㈜,심사미승인,제조업1
의약품 제조업,충청북도 청원군 오송읍 오송생명1로 194-41,한국투자증권㈜,심사승인,제조업3
"도축, 육류 가공 및 저장 처리업",충청북도 진천군 이월면 생거진천로 1770,미래에셋증권 주식회사,심사승인,제조업2
플라스틱제품 제조업,충청북도 진천군 이월면 고등1길 27,엔에이치투자증권주식회사,심사승인,제조업1
플라스틱제품 제조업,충청북도 진천군 이월면 고등1길 27,한국투자증권㈜,심사승인,제조업1
기초 의약물질 및 생물학적 제제 제조업,충청북도 제천시 바이오밸리로 59,한국투자증권㈜,심사승인,제조업3
기초 화학물질 제조업,충청북도 제천시 바이오밸리로 107,"신한투자증권 주식회사,대신증권㈜",심사승인,제조업3
"구조용 금속제품, 탱크 및 증기발생기 제조업",충청북도 음성군 삼성면 하이텍산단로 99,엔에이치투자증권주식회사,심사승인,제조업1
비알코올음료 및 얼음 제조업,충청북도 음성군 삼성면 하이텍산단로 116-23,엔에이치투자증권주식회사,심사승인,제조업2
플라스틱제품 제조업,충청북도 음성군 대소면 한삼로 224-7,미래에셋증권 주식회사,심사승인,제조업1
반도체 제조업,충청북도 음성군 대소면 오류리 614-2,"한국투자증권㈜,미래에셋증권 주식회사",심사승인,제조업1
기타 화학제품 제조업,충청북도 음성군 대소면 대금로 196번길 17-12,삼성증권㈜,심사승인,제조업3
의약품 제조업,충청북도 음성군 금왕읍 신내로 500,미래에셋증권 주식회사,심사철회,제조업3
자동차 차체 및 트레일러 제조업,충청북도 음성군 금왕읍 대금로 1264,미래에셋증권 주식회사,심사중,제조업4
일반 목적용 기계 제조업,충청북도 음성군 금왕읍 금율로30번길 32-10,미래에셋증권 주식회사,심사승인,제조업2
기초 화학물질 제조업,"충청북도 보은군 삼승면 남부로 3750-148(우진리,티이엠씨)",한화투자증권㈜,심사승인,제조업3
기타 화학제품 제조업,충청북도 보은군 보은읍 매화구인로 345,대신증권㈜,심사승인,제조업3
건물설비 설치 공사업,충청남도 천안시 서북구 천일고3길 47,삼성증권㈜,심사승인,건 설 업
전자부품 제조업,충청남도 천안시 서북구 직산읍 모시리 308,신한투자증권 주식회사,심사승인,제조업2
기타 화학제품 제조업,충청남도 천안시 서북구 직산읍 4산단4로 48,키움증권㈜,심사철회,제조업3
전자부품 제조업,충청남도 천안시 서북구 직산읍 4산단4로 48,키움증권㈜,심사승인,제조업2
특수 목적용 기계 제조업,충청남도 천안시 서북구 직산읍 4산단2길 19,한국투자증권㈜,심사승인,제조업4
기타 전기장비 제조업,충청남도 천안시 서북구 직산읍 2공단5로 117-10,미래에셋증권 주식회사,심사승인,제조업2
기타 식품 제조업,충청남도 천안시 서북구 성환읍 연암율금로 42,키움증권㈜,심사승인,제조업1
기타 식품 제조업,충청남도 천안시 서북구 성거읍 천흥8길 67-26,"엔에이치투자증권주식회사,삼성증권㈜",심사승인,제조업1
특수 목적용 기계 제조업,충청남도 천안시 서북구 백석공단5길 21,"하나증권주식회사,IBK투자증권㈜",심사철회,제조업4
특수 목적용 기계 제조업,충청남도 천안시 서북구 백석공단2길 62,미래에셋증권㈜,심사승인,제조업4
반도체 제조업,충청남도 천안시 서북구 3공단3로 42,"대신증권㈜,엔에이치투자증권주식회사",심사승인,제조업1
일차전지 및 축전지 제조업,충청남도 천안시 서북구 3공단2로 42,엔에이치투자증권주식회사,심사승인,제조업1
기타 화학제품 제조업,충청남도 천안시 동남구 풍세면 풍세산단2로 39,엔에이치투자증권주식회사,심사승인,제조업3
동물용 사료 및 조제식품 제조업,충청남도 천안시 동남구 용수골길 23 현대사료(주),신한투자증권 주식회사,심사승인,제조업2
"구조용 금속제품, 탱크 및 증기발생기 제조업",충청남도 천안시 동남구 수신면 수신로 485-34,KB증권㈜,심사승인,제조업1
플라스틱제품 제조업,충청남도 천안시 동남구 수신면 5산단6로 45,미래에셋증권 주식회사,심사철회,제조업1
합성고무 및 플라스틱 물질 제조업,충청남도 천안시 동남구 수신면 5산단6로 45,엔에이치투자증권주식회사,심사중,제조업1
합성고무 및 플라스틱 물질 제조업,충청남도 천안시 동남구 성남면 대흥신덕길 84-19,미래에셋증권 주식회사,심사승인,제조업1
1차 비철금속 제조업,충청남도 예산군 응봉면 응봉로 50-42,한국투자증권㈜,심사승인,제조업1
전자부품 제조업,충청남도 예산군 응봉면 응봉로 50-16,한국투자증권㈜,심사승인,제조업2
가정용 기기 제조업,충청남도 아산시 탕정면 선문로254번길 12,신영증권㈜,심사승인,제조업2
특수 목적용 기계 제조업,충청남도 아산시 음봉면 음봉로 169,한국투자증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,충청남도 아산시 음봉면 연암율금로 77-26,미래에셋증권 주식회사,심사승인,제조업4
자동차 신품 부품 제조업,충청남도 아산시 음봉면 연암율금로 288-7,엔에이치투자증권주식회사,심사승인,제조업4
"시멘트, 석회, 플라스터 및 그 제품 제조업",충청남도 아산시 염치읍 아산온천로 16-127,대신증권㈜,심사승인,제조업2
의약품 제조업,충청남도 아산시 실옥로 174,엔에이치투자증권주식회사,심사승인,제조업3
플라스틱제품 제조업,충청남도 아산시 선장면 가산리 386,한국투자증권㈜,심사승인,제조업1
특수 목적용 기계 제조업,"충청남도 아산시 배방읍 호서로79번길 20, 1층",삼성증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,충청남도 아산시 둔포면 아산밸리북로 121,미래에셋증권 주식회사,심사승인,제조업4
특수 목적용 기계 제조업,충청남도 아산시 둔포면 아산밸리로387번길 42,미래에셋증권 주식회사,심사승인,제조업4
기타 금속 가공제품 제조업,충청남도 아산시 둔포면 아산밸리로 89,엔에이치투자증권주식회사,심사승인,제조업1
특수 목적용 기계 제조업,충청남도 아산시 둔포면 아산밸리동로 254,미래에셋증권 주식회사,심사승인,제조업4
기타 화학제품 제조업,충청남도 서천군 장항읍 장항산단7길 13,미래에셋증권 주식회사,심사승인,제조업3
자동차 신품 부품 제조업,충청남도 서산시 지곡면 무장산업로 263-29,대신증권㈜,심사승인,제조업4
석유 정제품 제조업,충청남도 서산시 대산읍 평신2로 182,"엔에이치투자증권주식회사,KB증권㈜,CS증권 서울지점",심사승인,제조업2
의약품 제조업,충청남도 당진시 송악읍 한진1길 28,케이비투자증권㈜,심사승인,제조업3
동물용 사료 및 조제식품 제조업,충청남도 논산시 성동면 산업단지로2길 11,"대신증권㈜,SK증권㈜",심사철회,제조업2
동물용 사료 및 조제식품 제조업,충청남도 논산시 성동면 산업단지로2길 11,대신증권㈜,심사승인,제조업2
전구 및 조명장치 제조업,충청남도 공주시 정안면 정안농공단지길 32-22,미래에셋증권 주식회사,심사승인,제조업2
전자부품 제조업,충북 청주시 흥덕구 송정동 123-1,미래에셋증권㈜,심사승인,제조업2
전자부품 제조업,충북 청원군 옥산면 남촌리1112-11,유안타증권㈜,심사미승인,제조업2
반도체 제조업,충북 청원군 오창읍 양청리 685-1,한국투자증권㈜,심사승인,제조업1
기초 화학물질 제조업,충북 청원군 오창면 각리 654-3,유안타증권㈜,심사승인,제조업3
기초 의약물질 및 생물학적 제제 제조업,충북 청원군 오창면 각리 641-4,한국투자증권㈜,심사승인,제조업3
기타 화학제품 제조업,충북 청원군 부용면 금호리 244 부용지방산업단지내,한국투자증권㈜,심사승인,제조업3
기초 화학물질 제조업,충북 진천군 진천읍 송두리 450,대신증권㈜,심사승인,제조업3
의료용품 및 기타 의약 관련제품 제조업,충북 진천군 이월면 신월리1127 이월전기전자농공1단지,대신증권㈜,심사승인,제조업3
"구조용 금속제품, 탱크 및 증기발생기 제조업",충북 진천군 이월면 노원리 1142,현대차증권주식회사,심사승인,제조업1
플라스틱제품 제조업,충북 음성군 삼성면 선정리669,대신증권㈜,심사승인,제조업1
기타 화학제품 제조업,충북 음성군 삼성면 상곡리767 음성하이텍산업단지,한국투자증권㈜,심사철회,제조업3
기타 화학제품 제조업,충북 음성군 삼성면 상곡리 767,한국투자증권㈜,심사승인,제조업3
기초 의약물질 및 생물학적 제제 제조업,충북 음성군 대소면 성본리 576-1,현대차증권주식회사,심사승인,제조업3
일반 목적용 기계 제조업,충북 음성군 금왕읍 내곡리 산 8,하나증권주식회사,심사미승인,제조업2
플라스틱제품 제조업,충남 홍성군 구항면 공리 456-3,엔에이치투자증권주식회사,심사승인,제조업1
의료용 기기 제조업,충남 천안시 입장면 도림리 344-14,한화투자증권㈜,심사승인,제조업3
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",충남 천안시 서북구 직산읍 군서리 134,한국투자증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,충남 천안시 서북구 직산읍 4산단 2길 19,한국투자증권㈜,심사미승인,제조업4
의료용 기기 제조업,충남 천안시 서북구 입장면 영산홍1길 12,한국투자증권㈜,심사승인,제조업3
"비료, 농약 및 살균, 살충제 제조업",충남 천안시 서북구 업성동 624-2,키움증권㈜,심사철회,제조업3
반도체 제조업,충남 천안시 서북구 3공단 3로 42,"대신증권㈜,엔에이치투자증권주식회사",심사승인,제조업1
자동차 신품 부품 제조업,충남 천안시 병천면 가전리 306-1,한국투자증권㈜,심사승인,제조업4
"구조용 금속제품, 탱크 및 증기발생기 제조업",충남 천안시 동남구 병천면 탑원리 2-1,한화투자증권㈜,심사철회,제조업1
기타 화학제품 제조업,충남 연기군 전의면 서정리 170-7,메리츠증권(주),심사승인,제조업3
의약품 제조업,충남 연기군 전동면 노장리 404-10,SK증권㈜,심사승인,제조업3
일반 목적용 기계 제조업,충남 아산시 탕정면 매곡리 121-2,미래에셋증권㈜,심사승인,제조업2
자동차 신품 부품 제조업,충남 아산시 음봉면 소동리 12-3,엔에이치투자증권주식회사,심사철회,제조업4
전자부품 제조업,충남 아산시 배방면 세출리165,미래에셋증권㈜,심사승인,제조업2
전자부품 제조업,충남 아산시 둔포면 석곡리 1500,엔에이치투자증권주식회사,심사승인,제조업2
기타 화학제품 제조업,충남 서산시 대산읍 독곳리 411-13,신한투자증권 주식회사,심사승인,제조업3
석유 정제품 제조업,충남 서산시 대산읍 대죽리 640-6,엔에이치투자증권주식회사,심사철회,제조업2
기타 화학제품 제조업,충남 당진군 석문면 통정리 1233,KB증권㈜,심사승인,제조업3
1차 철강 제조업,충남 당진군 석문면 삼화리 650-5,한화투자증권㈜,심사승인,제조업1
그외 기타 개인 서비스업,충남 공주시 유구읍 유구리 658,유안타증권㈜,심사승인,"협회 및 단체, 수리 및 기타 개인 서비스업"
특수 목적용 기계 제조업,천안시 서북구 직산읍 부송로 165-33,신영증권㈜,심사중,제조업4
알코올음료 제조업,제주특별자치도 제주시 한림읍 금능농공길 62-11,대신증권㈜,심사승인,제조업2
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",제주특별자치도 제주시 첨단로 242,엔에이치투자증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,제주특별자치도 제주시 애월읍 천덕로 880-24,하나증권주식회사,심사철회,정보통신업
항공 여객 운송업,제주특별자치도 제주시 신대로 64 3층,엔에이치투자증권주식회사,심사승인,운수 및 창고업
기타 금속 가공제품 제조업,전북특별자치도 군산시 군산산단로 96,엔에이치투자증권주식회사,심사중,제조업1
플라스틱제품 제조업,전북 정읍시 하북동 850,하이투자증권㈜,심사미승인,제조업1
기타 금융업,전북 전주시 덕진구 금암동 669-2,대신증권㈜,심사승인,금융 및 보험업
기타 금속 가공제품 제조업,전북 장수군 장계면 금덕리845 장계농공단지,한화투자증권㈜,심사승인,제조업1
화학섬유 제조업,전북 완주군 봉동읍 용암리774-2,SK증권㈜,심사승인,제조업3
1차 비철금속 제조업,전북 군산시 오식도동816-6,하나증권주식회사,심사미승인,제조업1
알코올음료 제조업,전라북도 전주시 덕진구 원만성로 15,엔에이치투자증권주식회사,심사승인,제조업2
일차전지 및 축전지 제조업,전라북도 전주시 덕진구 운암로 15,대신증권㈜,심사승인,제조업1
회사 본부 및 경영 컨설팅 서비스업,"전라북도 익산시 고봉로 228, 금강빌딩 1층(영등동)","신한투자증권 주식회사,KB증권㈜",심사승인,"전문, 과학 및 기술 서비스업"
반도체 제조업,전라북도 완주군 봉동읍 테크노밸리로 497,유안타증권㈜,심사승인,제조업1
그외 기타 운송장비 제조업,전라북도 완주군 봉동읍 완주산단5로 97-46,"미래에셋증권 주식회사,삼성증권㈜",심사승인,제조업4
기타 화학제품 제조업,전라북도 완주군 경천면 대둔산로 540-12,미래에셋증권 주식회사,심사철회,제조업3
기타 화학제품 제조업,전라북도 완주군 경천면 대둔산로 540-12,키움증권㈜,심사미승인,제조업3
기타 화학제품 제조업,전라북도 군산시 중가도길 16,미래에셋증권 주식회사,심사승인,제조업3
기초 화학물질 제조업,전라북도 군산시 군산산단로 143-12,"대신증권㈜,KB증권㈜",심사승인,제조업3
자연과학 및 공학 연구개발업,전라남도 화순군 화순읍 산단길 12-55,하나증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
의료용품 및 기타 의약 관련제품 제조업,전라남도 장성군 남면 삼태로 147-22 전남나노바이오연구원 303호,키움증권㈜,심사미승인,제조업3
스포츠 서비스업,전라남도 무안군 청계면 서호로 162,대신증권㈜,심사승인,"예술, 스포츠 및 여가관련 서비스업"
축산업,전라남도 나주시 반남면 장송길 73,미래에셋증권 주식회사,심사승인,"농업, 임업 및 어업"
건물 건설업,전남 화순군 화순읍 벽라리 35-1,현대차증권주식회사,심사승인,건 설 업
1차 철강 제조업,전남 순천시 서면 선평리 291,미래에셋증권 주식회사,심사승인,제조업1
의약품 제조업,"인천광역시 중구 서해대로 366, 310호(신흥동3가, 정석빌딩)",한국투자증권㈜,심사승인,제조업3
자연과학 및 공학 연구개발업,"인천광역시 연수구 하모니로 291, 4층",SK증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,"인천광역시 연수구 하모니로 291, 4층",SK증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
기타 전문 도매업,"인천광역시 연수구 아카데미로51번길 19, 4층",미래에셋증권 주식회사,심사승인,도매 및 소매업
기초 의약물질 및 생물학적 제제 제조업,인천광역시 연수구 아카데미로 23,엔에이치투자증권주식회사,심사승인,제조업3
기초 의약물질 및 생물학적 제제 제조업,인천광역시 연수구 송도바이오대로 300,"한국투자증권㈜,씨티그룹글로벌마켓증권㈜",심사승인,제조업3
기초 의약물질 및 생물학적 제제 제조업,인천광역시 연수구 송도미래로 30,DB금융투자주식회사,심사승인,제조업3
기초 의약물질 및 생물학적 제제 제조업,인천광역시 연수구 송도과학로 32 에스동 18층,"한국투자증권㈜,미래에셋증권 주식회사",심사승인,제조업3
"건축기술, 엔지니어링 및 관련 기술 서비스업","인천광역시 연수구 센트럴로 263, 907호 (송도동, 아이비에스타워)",한국투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,인천광역시 연수구 벤처로100번길 6,한국투자증권㈜,심사철회,제조업3
의료용 기기 제조업,인천광역시 연수구 벤처로100번길 6,한국투자증권㈜,심사중,제조업3
기타 금융업,인천광역시 연수구 벤처로100번길 26,삼성증권㈜,심사철회,금융 및 보험업
기타 화학제품 제조업,인천광역시 연수구 갯벌로145번길 15-8,삼성증권㈜,심사승인,제조업3
기타 화학제품 제조업,인천광역시 연수구 갯벌로145번길 15-8,삼성증권㈜,심사승인,제조업3
특수 목적용 기계 제조업,인천광역시 서구 정서진로 117,"대신증권㈜,한화투자증권㈜",심사승인,제조업4
"해체, 선별 및 원료 재생업",인천광역시 서구 정서진로 117,"대신증권㈜,한화투자증권㈜",심사승인,"수도, 하수 및 폐기물 처리, 원료 재생업"
기타 화학제품 제조업,인천광역시 서구 염곡로14번길 27,DB금융투자주식회사,심사승인,제조업3
기타 비금속 광물제품 제조업,"인천광역시 서구 봉수대로300번길 15, 300번길 9",대신증권㈜,심사승인,제조업1
기타 비금속 광물제품 제조업,인천광역시 서구 봉수대로 330 15(석남동),대신증권㈜,심사철회,제조업1
특수 목적용 기계 제조업,인천광역시 서구 로봇랜드로 155-30 로봇알앤디센터 4층,한국투자증권㈜,심사중,제조업4
폐기물 처리업,인천광역시 서구 드림로 174,"대신증권㈜,미래에셋증권 주식회사",심사철회,"수도, 하수 및 폐기물 처리, 원료 재생업"
자동차 신품 부품 제조업,인천광역시 서구 가정로37번길 50,케이비투자증권㈜,심사승인,제조업4
반도체 제조업,인천광역시 서구 가정로37번길 39,엔에이치투자증권주식회사,심사승인,제조업1
통신 및 방송 장비 제조업,인천광역시 서구 가재울로 90,미래에셋증권 주식회사,심사승인,제조업2
전자부품 제조업,인천광역시 부평구 평천로199번길 25,엔에이치투자증권주식회사,심사승인,제조업2
전자부품 제조업,인천광역시 부평구 안남로418번길 10 5층,엔에이치투자증권주식회사,심사승인,제조업2
그외 기타 제품 제조업,인천광역시 부평구 부평북로 118,IBK투자증권㈜,심사승인,제조업2
플라스틱제품 제조업,인천광역시 부평구 부평대로329번길 46,한국투자증권㈜,심사승인,제조업1
전자부품 제조업,인천광역시 남동구 호구포로 33 (고잔동 728-2) 남동공단 157블럭 4로트,"한국투자증권㈜,케이비투자증권㈜",심사승인,제조업2
1차 철강 제조업,인천광역시 남동구 아암대로 1213,하나증권주식회사,심사승인,제조업1
기타 금속 가공제품 제조업,인천광역시 남동구 능허대로 551,한국투자증권㈜,심사승인,제조업1
특수 목적용 기계 제조업,인천광역시 남동구 남동서로 362번길 37-45,한국투자증권㈜,심사승인,제조업4
반도체 제조업,인천광역시 남동구 남동서로 193,키움증권㈜,심사승인,제조업1
특수 목적용 기계 제조업,인천광역시 남동구 남동서로 126,"KB증권㈜,SK증권㈜",심사승인,제조업4
전자부품 제조업,인천광역시 남동구 남동동로277번길 24,대신증권㈜,심사철회,제조업2
기초 화학물질 제조업,"인천광역시 남동구 남동동로153번길 30(고잔동, 남동공단)",하나증권주식회사,심사승인,제조업3
전자부품 제조업,인천광역시 남구 염전로187번길 33,한국투자증권㈜,심사승인,제조업2
반도체 제조업,인천광역시 남구 염전로 316,하나증권주식회사,심사승인,제조업1
전자부품 제조업,"인천광역시 남구 방축로 352, 101호 202호 (주안동)",DB금융투자주식회사,심사승인,제조업2
특수 목적용 기계 제조업,인천광역시 계양구 아나지로 402,케이비투자증권㈜,심사승인,제조업4
기초 의약물질 및 생물학적 제제 제조업,인천 연수구 송도동 13-6,유안타증권㈜,심사미승인,제조업3
특수 목적용 기계 제조업,인천 서구 가좌동 532-2,신한투자증권 주식회사,심사승인,제조업4
연료용 가스 제조 및 배관공급업,인천 서구 가좌1동 178-24,미래에셋증권 주식회사,심사승인,"전기, 가스, 증기 및 공기 조절 공급업"
연료용 가스 제조 및 배관공급업,인천 서구 가좌1동 178-24,한양증권㈜,심사승인,"전기, 가스, 증기 및 공기 조절 공급업"
통신 및 방송 장비 제조업,인천 부평구 청천동420-8,미래에셋증권㈜,심사승인,제조업2
"건축기술, 엔지니어링 및 관련 기술 서비스업",인천 부평구 청천동 420-4,교보증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
1차 철강 제조업,인천 동구 송현동 1-11,현대차증권주식회사,심사미승인,제조업1
특수 목적용 기계 제조업,인천 남동구 논현동 439 49블럭 1롯트,유안타증권㈜,심사승인,제조업4
전자부품 제조업,인천 남동구 남촌동 614-4 남동공단 7블록 4롯트,한국투자증권㈜,심사승인,제조업2
1차 철강 제조업,인천 남동구 고잔동667-6 남동공단87블럭7롯트,하나증권주식회사,심사철회,제조업1
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",인천 남동구 고잔동 722 남동공단 151블럭 6롯트 아파트형공장 122호,한국투자증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,인천 남동구 고잔동 663-6 남동공단 98블럭 13롯트,KB증권㈜,심사승인,제조업4
1차 비철금속 제조업,울산광역시 울주군 온산읍 화산2길 34-5,"현대차증권주식회사,미래에셋증권 주식회사",심사승인,제조업1
선박 및 보트 건조업,울산광역시 울주군 온산읍 당월로 216-18,"신한투자증권 주식회사,미래에셋증권 주식회사",심사승인,제조업4
의료용품 및 기타 의약 관련제품 제조업,"울산광역시 울주군 언양읍 유니스트길 50, 110동 3층 301-3호(울산과학기술원)",대신증권㈜,심사승인,제조업3
일차전지 및 축전지 제조업,울산광역시 울주군 삼남읍 가천공단1길 27,"엔에이치투자증권주식회사,한국투자증권㈜",심사중,제조업1
일차전지 및 축전지 제조업,울산광역시 울주군 삼남면 가천공단1길 27,"엔에이치투자증권주식회사,한국투자증권㈜",심사철회,제조업1
자동차 신품 부품 제조업,울산광역시 북구 효문동 800-1,메리츠증권(주),심사승인,제조업4
자동차 신품 부품 제조업,울산광역시 북구 모듈화산업로 115,한국투자증권㈜,심사승인,제조업4
선박 및 보트 건조업,울산광역시 북구 매곡산업로 21,미래에셋증권 주식회사,심사승인,제조업4
전기 및 통신 공사업,"울산광역시 남구 삼산로 257, 7층",삼성증권㈜,심사승인,건 설 업
기초 화학물질 제조업,울산광역시 남구 사평로 71,"한국투자증권㈜,KB증권㈜",심사철회,제조업3
기타 화학제품 제조업,울산 울주군 온산읍 화산리354,삼성증권㈜,심사승인,제조업3
기초 화학물질 제조업,울산 울주군 온산읍 화산리 125,하나증권주식회사,심사미승인,제조업3
자동차 신품 부품 제조업,울산 울주군 두서면 전읍리 302,유안타증권㈜,심사승인,제조업4
자동차 신품 부품 제조업,울산 북구 연암동 945,미래에셋증권㈜,심사승인,제조업4
"구조용 금속제품, 탱크 및 증기발생기 제조업",울산 남구 성암동 20-1,미래에셋증권 주식회사,심사철회,제조업1
"구조용 금속제품, 탱크 및 증기발생기 제조업",울산 남구 성암동 20-1,미래에셋증권 주식회사,심사승인,제조업1
자동차 신품 부품 제조업,울산 남구 부곡동 271-6,신영증권㈜,심사승인,제조업4
유리 및 유리제품 제조업,세종특별자치시 전의면 산단길 134,엔에이치투자증권주식회사,심사승인,제조업2
"항공기,우주선 및 부품 제조업",세종특별자치시 가름로 232 세종비지니스센터,미래에셋증권 주식회사,심사승인,제조업4
소프트웨어 개발 및 공급업,"서울특별시 중구 퇴계로 307 광희빌딩 (광희동1가, 광희빌딩4층)",미래에셋증권 주식회사,심사승인,정보통신업
유원지 및 기타 오락관련 서비스업,서울특별시 중구 퇴계로 299,신한투자증권 주식회사,심사중,"예술, 스포츠 및 여가관련 서비스업"
부동산 임대 및 공급업,서울특별시 중구 퇴계로 173,한국투자증권㈜,심사승인,부동산업
텔레비전 방송업,서울특별시 중구 퇴계로 131 신일빌딩,"신한투자증권 주식회사,엔에이치투자증권주식회사",심사승인,정보통신업
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","서울특별시 중구 충무로 29 아시아미디어타워 10층,11층",한국투자증권㈜,심사승인,정보통신업
회사 본부 및 경영 컨설팅 서비스업,서울특별시 중구 장충단로 275,"한국투자증권㈜,제이피모간증권회사 서울지점",심사승인,"전문, 과학 및 기술 서비스업"
금융 지원 서비스업,"서울특별시 중구 을지로5길 26,16층(미래에셋센터원빌딩, 이스트타워)",미래에셋증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로5길 26, 동관16층 (미래에셋센터원빌딩)",미래에셋증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로5길 26, 동관 16층(미래에셋센터원빌딩)",미래에셋증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로5길 26(수하동, 미래에셋센터원 이스트타워)",미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로5길 26(수하동, 미래에셋 센터원빌딩 이스트타워)",미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 중구 을지로5길 26(수하동, 미래에셋 센터원빌딩 이스트타워)",미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 이스트타워 16층,미래에셋증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 이스트타워,미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 중구 을지로5길 26 미래에셋센터원빌딩 동관,미래에셋증권 주식회사,심사승인,금융 및 보험업
기타 금융업,서울특별시 중구 을지로5길 26 미래에셋센터원 이스트타워,미래에셋증권 주식회사,심사승인,금융 및 보험업
